iter	Passed	Remaining
0	151	151241
1	152	75913
2	152	50724
3	153	38124
4	153	30561
5	154	25541
6	154	21979
7	155	19299
8	156	17218
9	156	15538
10	157	14159
11	158	13011
12	158	12035
13	159	11199
14	159	10473
15	160	9840
16	160	9282
17	161	8788
18	161	8350
19	162	7959
20	163	7602
21	163	7276
22	164	6975
23	164	6699
24	165	6445
25	165	6210
26	167	6031
27	168	5833
28	168	5648
29	169	5472
30	169	5305
31	170	5150
32	170	5003
33	171	4864
34	171	4733
35	172	4614
36	172	4500
37	173	4393
38	174	4289
39	174	4190
40	175	4096
41	175	4007
42	176	3922
43	176	3842
44	177	3765
45	178	3692
46	178	3623
47	179	3558
48	180	3497
49	180	3437
50	181	3377
51	182	3319
52	182	3265
53	183	3210
54	183	3159
55	184	3109
56	185	3062
57	185	3016
58	186	2972
59	186	2926
60	187	2884
61	187	2843
62	188	2805
63	189	2766
64	189	2731
65	190	2695
66	191	2661
67	191	2627
68	192	2594
69	192	2561
70	193	2530
71	193	2499
72	194	2470
73	195	2440
74	195	2411
75	196	2383
76	196	2356
77	197	2330
78	197	2305
79	198	2279
80	198	2253
81	199	2229
82	199	2203
83	199	2180
84	200	2158
85	201	2136
86	201	2115
87	202	2095
88	202	2074
89	203	2055
90	203	2036
91	204	2018
92	205	2001
93	205	1984
94	206	1966
95	207	1949
96	207	1932
97	208	1914
98	208	1898
99	209	1881
100	209	1866
101	210	1852
102	211	1837
103	211	1823
104	212	1809
105	212	1795
106	213	1780
107	213	1766
108	214	1752
109	214	1739
110	215	1726
111	216	1714
112	216	1701
113	217	1689
114	218	1677
115	218	1665
116	218	1652
117	219	1640
118	219	1628
119	220	1617
120	221	1606
121	221	1594
122	222	1584
123	223	1575
124	223	1565
125	224	1555
126	224	1544
127	225	1535
128	225	1525
129	226	1515
130	227	1506
131	227	1496
132	228	1487
133	228	1479
134	229	1470
135	230	1462
136	230	1453
137	231	1445
138	231	1436
139	232	1427
140	232	1419
141	233	1409
142	233	1401
143	234	1393
144	235	1385
145	235	1378
146	236	1370
147	236	1363
148	237	1355
149	237	1347
150	238	1340
151	238	1333
152	239	1325
153	240	1318
154	240	1311
155	241	1305
156	241	1298
157	242	1291
158	242	1284
159	243	1277
160	243	1269
161	244	1263
162	244	1256
163	245	1249
164	245	1243
165	246	1236
166	246	1231
167	247	1226
168	248	1221
169	249	1217
170	249	1211
171	250	1206
